Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-nmdp.fhir.cibmtr-reporting.json	35504	-	0	0	0	0	0	0	15	128	0	0	0	0	0	0	0	1	0	0	256	461	0	0	0	10	0	6
fsh-generated/resources/CodeSystem-cibmtr-ancestry-cs.json	410	9	0	0	3	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	52	733	0	0	1	0	0	0
fsh-generated/resources/Medication-Medication-Cyclophosphamide-Example.json	1967	9	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	48	223	0	0	0	0	0	1
fsh-generated/resources/Medication-Medication-Etoposide-Example.json	2398	9	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	51	196	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-GVHD-Prophylaxis-Example.json	2394	8	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	52	192	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Mobilizing-Agent-Example.json	1961	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	57	192	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Peri-Transplant-Example.json	2705	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	52	197	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Post-HCT-Disease-Therapy-Example.json	3708	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	57	200	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-Prep-Regimen-Example.json	1974	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	47	187	0	0	0	0	0	0
fsh-generated/resources/Medication-Medication-PriorExposure-Example.json	2022	9	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	50	189	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-MedicationAdministration-Example1.json	1737	7	0	0	0	0	0	0	0	2445	0	0	0	0	0	0	0	0	0	0	51	204	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-MedicationAdministration-Example2.json	2399	9	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	52	205	0	0	0	0	0	1
fsh-generated/resources/MedicationRequest-MedicationRequest-Etoposide-Example.json	2815	7	0	0	0	0	0	0	1	395	0	0	0	0	0	0	0	0	0	0	51	208	0	0	0	0	0	0
fsh-generated/resources/Observation-ABOBloodGroupObservationLOINC.json	1068	8	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	45	193	0	0	0	0	0	0
fsh-generated/resources/Observation-ABOBloodGroupObservationSNOMED.json	1091	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	51	194	0	0	0	0	0	0
fsh-generated/resources/Observation-ABORhObservationLOINC.json	1065	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	68	202	0	0	0	0	0	0
fsh-generated/resources/Observation-ABORhObservationSNOMED.json	1105	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	69	193	0	0	0	0	0	0
fsh-generated/resources/Observation-AlbuminObservation.json	1044	7	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	62	191	0	0	0	0	0	0
fsh-generated/resources/Observation-BasophilsObservation.json	1026	9	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	65	187	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyHeight.json	972	6	0	0	0	0	0	0	1	302	0	0	0	0	0	0	0	0	0	0	64	186	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeight.json	960	8	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	66	198	0	0	0	0	0	0
fsh-generated/resources/Observation-CMVDNAViralLoadCopiesmL.json	1495	8	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	76	186	0	0	0	0	0	0
fsh-generated/resources/Observation-CMVDNAViralLoadIUmL.json	1534	8	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	70	186	0	0	0	0	0	0
fsh-generated/resources/Observation-CMVIgAbPresenceSNOMED.json	1128	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	65	191	0	0	0	0	0	0
fsh-generated/resources/Observation-CMVIgGAbPresenceLOINC.json	1104	6	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	62	183	0	0	0	0	0	0
fsh-generated/resources/Observation-CMVIgMAbPresenceLOINC.json	1105	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	60	196	0	0	0	0	0	0
fsh-generated/resources/Observation-CMVIgMAbPresenceSNOMED.json	1129	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	65	190	0	0	0	0	0	0
fsh-generated/resources/Observation-Cytogenetics-Example-1.json	1941	9	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	69	197	0	0	0	0	0	0
fsh-generated/resources/Observation-EosinophilsObservation.json	1051	6	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	64	189	0	0	0	0	0	0
fsh-generated/resources/Observation-HemoglobinObservation.json	1040	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	63	197	0	0	0	0	0	0
fsh-generated/resources/Observation-LeukocytesObservation.json	1034	7	0	0	1	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	58	215	0	0	0	0	0	0
fsh-generated/resources/Observation-MetamyelocytesObservation.json	1074	8	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	46	203	0	0	0	0	0	1
fsh-generated/resources/Observation-NeutrophilsObservation.json	1048	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	44	191	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample1.json	694	6	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	43	202	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample2.json	590	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	42	193	0	0	1	0	0	0
fsh-generated/resources/Patient-PatientExample3.json	1671	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	53	200	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample4.json	1774	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	51	198	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample5.json	2163	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	52	201	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample6.json	715	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	194	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cibmtr-additional-peri-transplant-medication.json	1134	7	0	174	0	0	2	0	1	38	0	0	1	0	0	0	0	0	0	0	296	4347	0	1	0	6	0	2
fsh-generated/resources/StructureDefinition-cibmtr-ancestry.json	2429	10	0	101	2	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	171	1631	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-cibmtr-cytogenetics.json	3694	7	0	506	0	0	0	0	0	66	0	0	1	0	0	0	0	3	0	0	1772	13550	0	0	0	35	1	11
fsh-generated/resources/StructureDefinition-cibmtr-gvhd-prophylaxis-medication.json	905	8	0	97	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	277	2649	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-cibmtr-medication-administration.json	2132	7	0	130	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	344	3192	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-cibmtr-medication-request.json	2148	8	0	161	1	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	524	4964	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-cibmtr-medication.json	1892	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	296	2539	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-cibmtr-medications.json	2067	8	0	127	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	604	4631	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-cibmtr-mobilizing-agent-medication.json	920	7	0	19	0	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	310	2619	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-cibmtr-obs-priority-variables.json	950	8	0	109	0	0	0	0	0	36	0	0	0	0	0	0	0	2	0	0	425	4559	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-cibmtr-observation-lab.json	2691	8	0	0	0	0	0	0	0	33	0	0	1	0	0	0	0	1	0	0	449	4146	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-cibmtr-patient.json	5217	21	0	150	0	0	0	0	0	42	0	0	0	0	0	0	0	3	0	0	800	6740	0	0	0	25	0	2
fsh-generated/resources/StructureDefinition-cibmtr-post-hct-disease-therapy-planned-medication.json	998	13	0	18	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	310	2664	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-cibmtr-prep-regimen-medication.json	911	15	0	17	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	314	2573	0	0	0	6	0	0
