URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.4,20170601,active,"2.16.840.1.113762.1.4.1010.4",MedicationClinicalDrug,Medication Clinical Drug,"","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medication-administration,StructureDefinition/cibmtr-gvhd-prophylaxis-medication,StructureDefinition/cibmtr-medication,StructureDefinition/cibmtr-prep-regimen-medication,StructureDefinition/cibmtr-medications,StructureDefinition/cibmtr-additional-peri-transplant-medication,StructureDefinition/cibmtr-post-hct-disease-therapy-planned-medication,StructureDefinition/cibmtr-prior-exposure-medication,StructureDefinition/cibmtr-mobilizing-agent-medication",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.88.12.80.62,20210630,active,"2.16.840.1.113883.3.88.12.80.62",VitalSignResultType,Vital Sign Result Type,"Value Set: HITSP Vital Sign Result Type 2.16.840.1.113883.3.88.12.80.62 DYNAMIC Code System(s): LOINC 2.16.840.1.113883.6.1  Code Code System Print Name 9279-1  LOINC Respiratory Rate  8867-4  LOINC Heart Rate  2710-2  LOINC O2 % BldC Oximetry  8480-6  LOINC BP Systolic  8462-4  LOINC BP Diastolic  8310-5  LOINC Body Temperature  8302-2  LOINC Height  8306-3  LOINC Height (Lying)  8287-5  LOINC Head Circumference  3141-9  LOINC Weight Measured 39156-5 LOINC BMI (Body Mass Index) 3140-1 LOINC BSA (Body Surface Area)","StructureDefinition/cibmtr-vital-signs-height,StructureDefinition/cibmtr-vital-signs,StructureDefinition/cibmtr-vital-signs-weight","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/auto-differential-blood-vs,0.1.12,draft,,AutoDifferentialBloodVS,Auto Differential panel - Blood (57023-4),"Auto Differential panel - Blood (57023-4)","ValueSet/cbc-w-auto-differential-blood-vs","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/cbc-blood-automated-vs,0.1.12,draft,,CBCBloodAutomatedVS,CBC panel - Blood by Automated count (58410-2),"CBC panel - Blood by Automated count (58410-2)","ValueSet/cbc-w-ordered-manual-differential-blood-vs,ValueSet/cbc-w-auto-differential-blood-vs","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/cbc-w-auto-differential-blood-vs,0.1.12,draft,,CBCWAutoDifferentialBloodVS,CBC W Auto Differential panel - Blood (57021-8),"CBC W Auto Differential panel - Blood (57021-8)",,
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/cbc-w-differential-unspecified-blood-vs,0.1.12,draft,,CBCWDifferentialUnspecifiedBloodVS,CBC W Differential panel, method unspecified - Blood (69742-5),"CBC W Differential panel, method unspecified - Blood (69742-5)",,"LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/cbc-w-ordered-manual-differential-blood-vs,0.1.12,draft,,CBCWOrderedManualDifferentialBloodVS,CBC W Ordered Manual Differential panel - Blood (57782-5),"CBC W Ordered Manual Differential panel - Blood (57782-5)",,
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/cibmtr-cs-vitalsigns,0.1.12,active,,CIBMTRConceptSet_VitalSigns,CIBMTR Vital Signs Concept Set,"CIBMTR Vital Signs Concept Set",,
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/cibmtr-priority-variables-2021,0.1.12,draft,,PriorityVariables2021,CIBMTR Priority Variables Value Set (FY21),"Priority Variables for CIBMTR (FY21)",,"LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/cibmtr-priority-variables-2022,0.1.12,draft,,PriorityVariables2022,CIBMTR Priority Variables Value Set (FY22),"Priority Variables for CIBMTR (FY22)","StructureDefinition/cibmtr-obs-priority-variables","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/cibmtr-priority-variables-epic-2021,0.1.12,draft,,PriorityVariablesEpic2021,CIBMTR Priority Variables Value Set for Epic App (FY21),"Priority Variables for Epic CIBMTR Reporting App (FY21)",,"LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/differential-unspecified-blood-vs,0.1.12,draft,,DifferentialUnspecifiedBloodVS,Differential panel, method unspecified - Blood (69738-3),"Differential panel, method unspecified - Blood (69738-3)","ValueSet/cbc-w-differential-unspecified-blood-vs","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/erythrocyte-morphology-blood-vs,0.1.12,draft,,ErythrocyteMorphologyBloodVS,Erythrocyte morphology panel - Blood (58408-6),"Erythrocyte morphology panel - Blood (58408-6)","ValueSet/smear-morphology-blood-vs","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/gvhd-all-valueset,0.1.12,draft,,GVHDTypeValueSet,GVHD Type Value Set,"Permissible values for types of Graft vs Host Disease, from SNOMED CT and ICD-10",,
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/gvhd-icd10-codes,0.1.12,draft,,GVHDICD10VS,GVHD ICD-10 Codes,"GVHD ICD-10 Codes","ValueSet/gvhd-all-valueset","hl7.terminology.r4"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/gvhd-sct-codes,0.1.12,draft,,GVHDSCTVS,GVHD SNOMED CT Codes,"GVHD SNOMED CT Codes","ValueSet/gvhd-all-valueset","SCT"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/hematopoietic-disorder-vs,0.1.12,draft,,HematopoieticDisorderVS,Disorders of hematopoietic structure,"SNOMED: Disorders of hematopoietic structure",,"SCT"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/leukocyte-morphology-blood-vs,0.1.12,draft,,LeukocyteMorphologyBloodVS,Leukocyte morphology panel - Blood (58407-8),"Leukocyte morphology panel - Blood (58407-8)","ValueSet/smear-morphology-blood-vs","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/manual-differential-blood-vs,0.1.12,draft,,ManualDifferentialBloodVS,Manual Differential panel - Blood (24318-8),"Manual Differential panel - Blood (24318-8)","ValueSet/cbc-w-ordered-manual-differential-blood-vs","LOINC"
